StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
5/5/19 17:55,5/5/19 17:55,IP Address,24.63.236.200,100,18,TRUE,5/5/19 17:55,R_D7wglbgblvGI253,,,,,41.64120483,-72.46089935,anonymous,EN,A2IORKGF987TYJ,"img2	,img12	,img38	",280169
5/5/19 17:56,5/5/19 17:57,IP Address,192.225.242.205,100,63,TRUE,5/5/19 17:57,R_1IEPgx7yQEmEdQt,,,,,37.82530212,-82.88230133,anonymous,EN,A13T78K2IH40AX,"img21	,img26	,img28	",470571
5/5/19 18:04,5/5/19 18:05,IP Address,69.92.26.251,100,45,TRUE,5/5/19 18:05,R_3NRkz5kTcI3wTMA,,,,,42.55819702,-114.4658966,anonymous,EN,A1FNXSAI2PJ024,"img8	,img27	,img39	",122621
5/5/19 18:18,5/5/19 18:20,IP Address,162.204.58.237,100,117,TRUE,5/5/19 18:20,R_befdc4zJHrwFwWZ,,,,,42.08070374,-88.51699829,anonymous,EN,A399EU2DBGY1A7,"img13	,img15	,img30	",120156
5/5/19 18:38,5/5/19 18:39,IP Address,128.54.224.52,100,41,TRUE,5/5/19 18:39,R_1nZUabktpoZrM3W,,,,,32.84869385,-117.2767029,anonymous,EN,A1J0GDMZD9DI3P,"img4	,img25	,img31	",319757
5/5/19 18:38,5/5/19 18:40,IP Address,98.181.216.30,100,124,TRUE,5/5/19 18:40,R_2e9Kp3kgevhNOJz,,,,,36.14720154,-115.1175003,anonymous,EN,ABFP9YDVFKGUZ,"img5	,img8	,img12	",180619
5/5/19 19:12,5/5/19 19:13,IP Address,173.35.155.96,100,40,TRUE,5/5/19 19:13,R_3L5TKeQ1k7zgwQS,,,,,46.09869385,-64.8035965,anonymous,EN,A31E261Q71LL28,"img17	,img28	,img43	",853091
5/5/19 19:27,5/5/19 19:28,IP Address,157.46.110.116,100,78,TRUE,5/5/19 19:28,R_6hbXXqf0K3Nhr5n,,,,,10.99099731,76.96670532,anonymous,EN,A1G4QDVYGHSQCY,"img3	,img13	,img39	",758257
5/5/19 19:45,5/5/19 19:46,IP Address,47.148.181.73,100,40,TRUE,5/5/19 19:46,R_3CNkAABGeuj2siY,,,,,34.03489685,-117.6184998,anonymous,EN,AU04NHNF2WGMK,"img15	,img22	,img43	",964134
5/5/19 19:45,5/5/19 19:46,IP Address,93.36.193.6,100,82,TRUE,5/5/19 19:46,R_1GEvXQP9VYtJW5H,,,,,41.89039612,12.5124054,anonymous,EN,AHOHKLO0YSGNI,"img14	,img20	,img23	",331425
5/5/19 19:47,5/5/19 19:49,IP Address,68.192.131.82,100,112,TRUE,5/5/19 19:49,R_3dJJsh7WOuE4y8e,,,,,41.60569763,-73.12210083,anonymous,EN,A2LWLDPBCC8Q0M,"img13	,img25	,img32	",278264
5/5/19 19:51,5/5/19 19:52,IP Address,99.234.201.146,100,59,TRUE,5/5/19 19:52,R_3qKVQd3D3EFZg7D,,,,,43.76269531,-79.76059723,anonymous,EN,A1KVE1E8ZON2F7,"img36	,img38	,img39	",699461
5/5/19 19:54,5/5/19 19:55,IP Address,64.134.68.72,100,45,TRUE,5/5/19 19:55,R_3OqaS07qQxtlCCJ,,,,,47.89770508,-97.03939819,anonymous,EN,A1S7R2Z9GZJZ0Y,"img12	,img30	,img44	",879211
5/5/19 19:58,5/5/19 20:00,IP Address,171.6.233.162,100,95,TRUE,5/5/19 20:00,R_2PaEru5YUCfNt9y,,,,,13.75939941,100.4888916,anonymous,EN,AI0JD84HBP3MN,"img5	,img21	,img37	",774301
5/5/19 20:05,5/5/19 20:08,IP Address,108.88.175.151,100,173,TRUE,5/5/19 20:08,R_1ePhoMhraJQ07k2,,,,,42.49859619,-83.47920227,anonymous,EN,AY52II1OC5RZ1,"img38	,img39	,img41	",230200
