StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
5/6/19 7:51,5/6/19 7:52,IP Address,73.232.91.76,100,26,TRUE,5/6/19 7:52,R_00MLlI4EcWtuIJH,,,,,29.65179443,-95.14640045,anonymous,EN,A5FUU339LEP25,"img26	,img31	,img68	",978723
5/6/19 7:51,5/6/19 7:52,IP Address,64.80.174.146,100,59,TRUE,5/6/19 7:52,R_22EUJC63Wice7hy,,,,,42.11079407,-77.94190216,anonymous,EN,AH7I3K3OJKA5L,"img2 ,img29	,img69	",678322
5/6/19 7:51,5/6/19 7:52,IP Address,99.234.201.146,100,58,TRUE,5/6/19 7:52,R_eFm2IpdSskiDO93,,,,,43.76269531,-79.76059723,anonymous,EN,A1KVE1E8ZON2F7,"img33	,img63	,img64	",476603
5/6/19 7:52,5/6/19 7:53,IP Address,80.15.169.37,100,26,TRUE,5/6/19 7:53,R_2xR9dJO2swkSflU,,,,,48.85820007,2.338699341,anonymous,EN,A84GVD9FRSUI1,"img1	,img38	,img44	",754442
5/6/19 7:51,5/6/19 7:53,IP Address,68.49.192.84,100,127,TRUE,5/6/19 7:53,R_1eXXBmxJzn1jaHI,,,,,42.21960449,-83.604599,anonymous,EN,A1JPUM7KH3020K,"img9	,img48	,img69	",892596
5/6/19 7:52,5/6/19 7:53,IP Address,98.10.80.46,100,72,TRUE,5/6/19 7:53,R_1Xqew7ZhlfR4xUZ,,,,,42.73680115,-78.83580017,anonymous,EN,A3ADP5EDYSB9HD,"img42	,img59	,img61	",372235
5/6/19 7:51,5/6/19 7:54,IP Address,106.51.153.190,100,175,TRUE,5/6/19 7:54,R_2U8Xvkh1pMNuYEC,,,,,13.08430481,80.28048706,anonymous,EN,AYDIZBR38B0TY,"img1	,img14	,img38	",684223
5/6/19 7:53,5/6/19 7:55,IP Address,157.51.225.247,100,157,TRUE,5/6/19 7:55,R_2QAO3dZl90v0l4m,,,,,13.08430481,80.28048706,anonymous,EN,AY3GTC6YJUDWQ,"img13	,img53	,img60	",263640
5/6/19 7:51,5/6/19 7:56,IP Address,85.49.162.219,100,285,TRUE,5/6/19 7:56,R_2X0Ni5cpuiKjhBq,,,,,40.1907959,-3.678894043,anonymous,EN,A1EGQAMPW9N5FT,"img16	,img22	,img53	",383636
5/6/19 7:54,5/6/19 7:57,IP Address,194.59.249.254,100,142,TRUE,5/6/19 7:57,R_2rj5rblubuZ7ZTQ,,,,,48.9335022,2.366104126,anonymous,EN,A1T5MOBJ4B3OI5,"img5	,img9	,img45	",110300
5/6/19 7:57,5/6/19 7:58,IP Address,173.249.34.140,100,88,TRUE,5/6/19 7:58,R_2TyZNO0duubsliN,,,,,49.40499878,11.16169739,anonymous,EN,A2KUIFLUNGJS5,"img25	,img26	,img44	",591809
