StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Random ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your MTurk Worker ID in order to be paid.You may find your ID in the upper left corner of the MTurk web page.,Select the best three (3) images. Please wait for ALL images to load before selecting the best photos.,Random ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""Random ID""}"
5/5/19 18:15,5/5/19 18:21,IP Address,97.86.32.19,100,345,TRUE,5/5/19 18:21,R_2TC7DaAZl3Lu3gV,,,,,45.70449829,-89.38659668,anonymous,EN,A3MYNZ80KYB3XK,"img9	,img45	,img85	",603755
5/5/19 18:36,5/5/19 18:37,IP Address,128.54.224.52,100,37,TRUE,5/5/19 18:37,R_3e3ropbDBeVM37a,,,,,32.84869385,-117.2767029,anonymous,EN,A1J0GDMZD9DI3P,"img24	,img58	,img71	",404940
5/5/19 18:39,5/5/19 18:40,IP Address,85.49.162.219,100,93,TRUE,5/5/19 18:40,R_2aDoFIEhDj1ohbc,,,,,40.1907959,-3.678894043,anonymous,EN,A1EGQAMPW9N5FT,"img23	,img27	,img54	",417978
5/5/19 19:14,5/5/19 19:15,IP Address,173.35.155.96,100,48,TRUE,5/5/19 19:15,R_1QmjAFHp9uUVmRY,,,,,46.09869385,-64.8035965,anonymous,EN,A31E261Q71LL28,"img38	,img66	,img74	",926302
5/5/19 19:24,5/5/19 19:25,IP Address,157.46.122.84,100,66,TRUE,5/5/19 19:25,R_3KOcjHVDG4LmjVU,,,,,10.99099731,76.96670532,anonymous,EN,A1G4QDVYGHSQCY,"img26	,img40	,img70	",153268
5/5/19 19:25,5/5/19 19:26,IP Address,99.241.173.39,100,58,TRUE,5/5/19 19:26,R_2eaGWrnkV0E7we0,,,,,43.76870728,-79.4108963,anonymous,EN,A3SBNJPZS7E2AX,"img4	,img50	,img73	",879732
5/5/19 19:26,5/5/19 19:26,IP Address,73.232.91.76,100,29,TRUE,5/5/19 19:26,R_3enoRTcqTXWpwAK,,,,,29.65179443,-95.14640045,anonymous,EN,A5FUU339LEP25,"img5	,img55	,img72	",891917
5/5/19 19:07,5/5/19 19:33,IP Address,190.72.121.243,100,1546,TRUE,5/5/19 19:33,R_DPmxrfeKZWfoTdL,,,,,10.50480652,-66.92079926,anonymous,EN,A2VIGMJ1CENNNE,"img13	,img77	,img80	",948994
5/5/19 19:38,5/5/19 19:40,IP Address,93.36.193.6,100,127,TRUE,5/5/19 19:40,R_BDuqoHpQl10ksyR,,,,,41.89039612,12.5124054,anonymous,EN,AHOHKLO0YSGNI,"img18	,img65	,img79	",112143
5/5/19 19:42,5/5/19 19:43,IP Address,87.192.247.65,100,72,TRUE,5/5/19 19:43,R_1OqmarpqvIWKfT3,,,,,53.51669312,-8.850006104,anonymous,EN,AR8NJPVR13ULD,"img26	,img70	,img76	",257598
